name,link,affiliations,email,cited_by
Ryan Randy Suryono,https://scholar.google.com/citations?hl=en&user=9EkYs-gAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,989.0
Dyah Ayu Megawaty,https://scholar.google.com/citations?hl=en&user=InDfjpcAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,969.0
Agus Wantoro,https://scholar.google.com/citations?hl=en&user=MaJqcIAAAAAJ,UNIVERSITAS TEKNOKRAT INDONESIA,Verified email at teknokrat.ac.id,950.0
Lulud Oktaviani,https://scholar.google.com/citations?hl=en&user=m5y4_I4AAAAJ,"Assistant Professor of Teaching Pedagogy, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,950.0
Fatimah Mulya Sari,https://scholar.google.com/citations?hl=en&user=PITVlXQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,948.0
Jupriyadi (Scopus ID : 56502396600; Sinta ID: 5984156),https://scholar.google.com/citations?hl=en&user=2ne0GywAAAAJ,Assistant Professor of Computer Science at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,905.0
Marchamah Ulfa,https://scholar.google.com/citations?hl=en&user=Gyf4FVQAAAAJ,"Dosen Pendidikan Matematika, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,897.0
Samanik,https://scholar.google.com/citations?hl=en&user=VUUFt3MAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,844.0
Mara Destiningrum,https://scholar.google.com/citations?hl=en&user=sjbTa2MAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,844.0
Arief Budiman,https://scholar.google.com/citations?hl=en&user=OVSt6TkAAAAJ,Assistant Professor of Computer Science at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,839.0
Filoka Nobianda Wijaya,https://scholar.google.com/citations?hl=en&user=VF0V3IEAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,834.0
"Novia Utami Putri, ST,MM,MT",https://scholar.google.com/citations?hl=en&user=CPkSOWkAAAAJ,UNIVERSITAS TEKNOKRAT INDONESIA,Verified email at teknokrat.ac.id,817.0
Rhaka Hade Septian Isna,https://scholar.google.com/citations?hl=en&user=RUJzu10AAAAJ,,Verified email at teknokrat.ac.id,794.0
Very Hendra Saputra,https://scholar.google.com/citations?hl=en&user=cKplq9AAAAAJ,"SIstem Iinformasi, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,789.0
Achmad Yudi Wahyudin,https://scholar.google.com/citations?hl=en&user=_856ta0AAAAJ,Assistant Professor of English Teacher Education at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,768.0
Fikri Hamidy,https://scholar.google.com/citations?hl=en&user=gzdAP3sAAAAJ,Accounting Information Lecturer,Verified email at teknokrat.ac.id,756.0
Lia Febria Lina ( Sinta ID: 6705302),https://scholar.google.com/citations?hl=en&user=SDTjz9kAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,751.0
Auliya Rahman Isnain,https://scholar.google.com/citations?hl=en&user=Xt-qOgIAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,739.0
JEPRI DAUD,https://scholar.google.com/citations?hl=en&user=nNjEHTwAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,725.0
Rusliyawati,https://scholar.google.com/citations?hl=en&user=EbChVyIAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,723.0
Reza Adhi Nugroho,https://scholar.google.com/citations?hl=en&user=I3nCqEsAAAAJ,Assistant Professor of physical education. Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,723.0
agus irawan,https://scholar.google.com/citations?hl=en&user=ZfMOjXcAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,714.0
Fera Lestari,https://scholar.google.com/citations?hl=en&user=qV4mMz8AAAAJ,Assistant Professor of Civil Engineering at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,711.0
Dyah Aminatun,https://scholar.google.com/citations?hl=en&user=nkU45-sAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,710.0
Larasati Ahluwalia,https://scholar.google.com/citations?hl=en&user=DaSA9t4AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,707.0
Alfina Adelia,https://scholar.google.com/citations?hl=en&user=dMXZPW4AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,704.0
SEFRAGITA_PASMASYARI Mahasiswa,https://scholar.google.com/citations?hl=en&user=9ZhZZLkAAAAJ,University,Verified email at teknokrat.ac.id,703.0
Andi Nurkholis,https://scholar.google.com/citations?hl=en&user=O-7vhhEAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,694.0
Berlinda Mandasari,https://scholar.google.com/citations?hl=en&user=e5kVuZ0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,688.0
NUR CAHYANA AMINUALLAH,https://scholar.google.com/citations?hl=en&user=BRgdrekAAAAJ,Teknokrat University,Verified email at teknokrat.ac.id,682.0
Suprayogi Suprayogi,https://scholar.google.com/citations?hl=en&user=BLYPngUAAAAJ,"Assistant Professor in Applied Linguistics, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,678.0
Febrian Eko Saputra,https://scholar.google.com/citations?hl=en&user=QFcRoP8AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,675.0
A. Ferico Octaviansyah Pasaribu,https://scholar.google.com/citations?hl=en&user=4IKzJVkAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,674.0
Mutiara Ayu,https://scholar.google.com/citations?hl=en&user=FNPscsUAAAAJ,"English Lecturer, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,654.0
Tri Darma Rosmalasari,https://scholar.google.com/citations?hl=en&user=ROYjWG0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,651.0
Ade Dwi Putra,https://scholar.google.com/citations?hl=en&user=2w_rRqAAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,639.0
Amarudin,https://scholar.google.com/citations?hl=en&user=ROTjR4MAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,630.0
Berlintina Permatasari,https://scholar.google.com/citations?hl=en&user=K9swhWcAAAAJ,"Lecturer, Teknokrat Indonesia University",Verified email at teknokrat.ac.id,629.0
"Akhyar Rido, Ph.D. (Scopus ID: 57192158423, WoS ID: 4705438, Sinta ID: 5990896)",https://scholar.google.com/citations?hl=en&user=ya1L30cAAAAJ,"Associate Professor of Applied Linguistics, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,625.0
