name,link,affiliations,email,cited_by
Edwin Russel,https://scholar.google.com/citations?hl=en&user=xJI5FVUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,159.0
Salsabila Indriyani (Mahasiswa),https://scholar.google.com/citations?hl=en&user=Jt64k-EAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,158.0
Wajiran,https://scholar.google.com/citations?hl=en&user=1t4IQrcAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,155.0
Irwan Tubagus,https://scholar.google.com/citations?hl=en&user=dzR6y3kAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,154.0
Maulana Aziz Assuja,https://scholar.google.com/citations?hl=en&user=ougD2MsAAAAJ,Asst. Prof. at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,147.0
Muhammad Bakri,https://scholar.google.com/citations?hl=en&user=omoo7L0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,146.0
Fadli Firdaus,https://scholar.google.com/citations?hl=en&user=AqaEw7cAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,144.0
YUSRIL_FATNI Mahasiswa,https://scholar.google.com/citations?hl=en&user=aXnZJOoAAAAJ,,Verified email at teknokrat.ac.id,142.0
andini reska putri,https://scholar.google.com/citations?hl=en&user=10ueJcYAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,135.0
LIVIA AGNA PUTRI,https://scholar.google.com/citations?hl=en&user=B16qSrsAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,133.0
"Dr. Nasrullah Yusuf SE, MBA",https://scholar.google.com/citations?hl=en&user=yWPJvdEAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,129.0
Kemala Puji,https://scholar.google.com/citations?hl=en&user=FlwwlqgAAAAJ,"Miss, Economic",Verified email at teknokrat.ac.id,128.0
Fitriyana,https://scholar.google.com/citations?hl=en&user=wE0Nl4QAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,127.0
Rega Arpiansah,https://scholar.google.com/citations?hl=en&user=I0C3GxkAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,125.0
Nisa Mahmuda,https://scholar.google.com/citations?hl=en&user=Hw60pEUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,124.0
Valencyo Dhida Fiera,https://scholar.google.com/citations?hl=en&user=bjW7EyoAAAAJ,Pelajar,Verified email at teknokrat.ac.id,124.0
Aditia Yudhistira,https://scholar.google.com/citations?hl=en&user=YjrIL2UAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,119.0
fajar irvansyah,https://scholar.google.com/citations?hl=en&user=b4yt1KcAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,119.0
Nurhuda Budi Pamungkas,https://scholar.google.com/citations?hl=en&user=AtbQl5oAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,118.0
MERLIN PUSPITASARI,https://scholar.google.com/citations?hl=en&user=e1qx_mEAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,118.0
I Ketut Wahyu Gunawan,https://scholar.google.com/citations?hl=en&user=D4Akc-oAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,116.0
Tien Yulianti,https://scholar.google.com/citations?hl=en&user=V6BYaQIAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,116.0
Ike Dwi Lestari,https://scholar.google.com/citations?hl=en&user=GAss3uAAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,116.0
Trio Prambudi,https://scholar.google.com/citations?hl=en&user=wRFmp0EAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,116.0
"Ikbal Yasin SE, MM",https://scholar.google.com/citations?hl=en&user=CeJ-zNQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,115.0
Endi Febriyanto,https://scholar.google.com/citations?hl=en&user=fznrVsYAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,114.0
Meri Audrilia,https://scholar.google.com/citations?hl=en&user=K_gV_q0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,111.0
RIKA_MANISA Mahasiswa,https://scholar.google.com/citations?hl=en&user=SeqEK7AAAAAJ,Teknokrat,Verified email at teknokrat.ac.id,107.0
niko rianto,https://scholar.google.com/citations?hl=en&user=PT9E9CkAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,102.0
Muhammad Agie Kencono,https://scholar.google.com/citations?hl=en&user=aVG8aUQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,98.0
I_KETUT_GUMBYAR Mahasiswa,https://scholar.google.com/citations?hl=en&user=I82vTUEAAAAJ,Universitas teknokrat Indonesia,Verified email at teknokrat.ac.id,98.0
Saniati MT,https://scholar.google.com/citations?hl=en&user=3CUDyTMAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,96.0
Wendy Aprianto,https://scholar.google.com/citations?hl=en&user=sWDz9u8AAAAJ,Teknokrat University,Verified email at teknokrat.ac.id,95.0
ROBEKKA RISTEN FRANSISKA SINAGA,https://scholar.google.com/citations?hl=en&user=LQ9RC9wAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,95.0
SOFIA NURUL HIKMAH,https://scholar.google.com/citations?hl=en&user=gmR8xosAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,94.0
Yeren Roosyan Putra,https://scholar.google.com/citations?hl=en&user=EExUCsUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,94.0
"Try Susanto, S.Pd., M.Cs.",https://scholar.google.com/citations?hl=en&user=3aJVffQAAAAJ,universitas teknokrat indonesia,Verified email at teknokrat.ac.id,91.0
Achmad Irvandi Yusuf,https://scholar.google.com/citations?hl=en&user=kyvZbzIAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,91.0
ardiansyah harahap,https://scholar.google.com/citations?hl=en&user=EkT9Yy4AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,90.0
Yeni Agus Nurhuda,https://scholar.google.com/citations?hl=en&user=yJ3k02wAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,89.0
Aditya Dwi Saputra,https://scholar.google.com/citations?hl=en&user=a7CkLX0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,88.0
rinaldi muchtar,https://scholar.google.com/citations?hl=en&user=ZOTrr5AAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,88.0
Dartono Dartono,https://scholar.google.com/citations?hl=en&user=urQw-vcAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,85.0
Fadila Shely Amalia,https://scholar.google.com/citations?hl=en&user=tNhbfkAAAAAJ,UNIVERSITAS TEKNOKRAT INDONESIA,Verified email at teknokrat.ac.id,85.0
Ririn Lisa Hardi Yanti,https://scholar.google.com/citations?hl=en&user=obO-_N4AAAAJ,Universitas Teknokrat Indonesi,Verified email at teknokrat.ac.id,78.0
Lara Sri Wahyuni,https://scholar.google.com/citations?hl=en&user=44oUDo0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,78.0
Martha Widiawitasari Br Simamora,https://scholar.google.com/citations?hl=en&user=e11dfpUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,77.0
Syahar Nurmala Sari,https://scholar.google.com/citations?hl=en&user=tugCAmQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,77.0
Muhammad Bakri,https://scholar.google.com/citations?hl=en&user=gAZHGvIAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,72.0
Muhammad Najib Dwi Satria,https://scholar.google.com/citations?hl=en&user=PbqMrw0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,72.0
ARIEF PRATAMA ZANOFA,https://scholar.google.com/citations?hl=en&user=5GXOZfQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,69.0
KETUT WIRNAWA,https://scholar.google.com/citations?hl=en&user=oSNmPJ8AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,67.0
Kisworo,https://scholar.google.com/citations?hl=en&user=VpsATTwAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,64.0
Mahdy Eka Putra,https://scholar.google.com/citations?hl=en&user=iPCIXgwAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,64.0
RUT DIAS VALENTIN,https://scholar.google.com/citations?hl=en&user=efKUzYkq48gC,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,62.0
Bintang Diwangkara,https://scholar.google.com/citations?hl=en&user=5r0j3KAAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,62.0
Muhammad Vani Aprilianto,https://scholar.google.com/citations?hl=en&user=hxJ9zhgAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,59.0
Yogi Purnomo Putra,https://scholar.google.com/citations?hl=en&user=rQvzgfMAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,58.0
FINE SIWI,https://scholar.google.com/citations?hl=en&user=KjZfRMoAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,57.0
Febri Wardani,https://scholar.google.com/citations?hl=en&user=Qo_242UAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,53.0
Akhmad Jayadi,https://scholar.google.com/citations?hl=en&user=W30yR5QAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,46.0
Alfiah Alfiah,https://scholar.google.com/citations?hl=en&user=_PrHZIsAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,43.0
Riski Istiani,https://scholar.google.com/citations?hl=en&user=N7VlVVUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,37.0
Arimbi Priadipa,https://scholar.google.com/citations?hl=en&user=9mcZ0tsAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,33.0
Dyah Ayu Megawaty,https://scholar.google.com/citations?hl=en&user=lF9LhtIAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,32.0
Intan Hamzah,https://scholar.google.com/citations?hl=en&user=Y70xXwEAAAAJ,English Lecturer,Verified email at teknokrat.ac.id,32.0
Nadila Nuraziza,https://scholar.google.com/citations?hl=en&user=rESPPyoAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,30.0
"E. Ngestirosa Endang Woro Kasih, MA",https://scholar.google.com/citations?hl=en&user=-AiEg6kAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,27.0
Mohammad Aminudin,https://scholar.google.com/citations?hl=en&user=n2u3mI4AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,27.0
Naufal Rizqi Ramadhan,https://scholar.google.com/citations?hl=en&user=L1FFgkgAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,26.0
Tria Setyani,https://scholar.google.com/citations?hl=en&user=fejxZisAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,22.0
Laisha Amilna Hayurian,https://scholar.google.com/citations?hl=en&user=q63Wb1EAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,19.0
Rikendry,https://scholar.google.com/citations?hl=en&user=Y0ycTjUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,17.0
MARSYA_ADELA Mahasiswa,https://scholar.google.com/citations?hl=en&user=3671wVkAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,13.0
Muhammad Pajar Kharisma Putra,https://scholar.google.com/citations?hl=en&user=3NoZzAQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,11.0
IRSYADIL_FIKRI Mahasiswa,https://scholar.google.com/citations?hl=en&user=fD7TtoMAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,10.0
WILDA_AMARA_NINGSIH Mahasiswa,https://scholar.google.com/citations?hl=en&user=sVfRIwQAAAAJ,TEKNOKRAT,Verified email at teknokrat.ac.id,8.0
liliandraini,https://scholar.google.com/citations?hl=en&user=9IRWv70AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,5.0
Muhammad Zam Zam Al Murshalat Adzan,https://scholar.google.com/citations?hl=en&user=haQ4JbAAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,3.0
Rio Aditomo Mahardika Putra,https://scholar.google.com/citations?hl=en&user=CmpoVK0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1.0
Fernando Kesuma Bhakti,https://scholar.google.com/citations?hl=en&user=EmKHaG0AAAAJ,Univeristas Teknokrat Indonesia,Verified email at teknokrat.ac.id,
PRAJENA_INTAN_PUTRI Mahasiswa,https://scholar.google.com/citations?hl=en&user=Bh6FR5QAAAAJ,"Sistem Informasi, Univeritas Teknokrat Indonesia",Verified email at teknokrat.ac.id,
Suwarman Adi Wardana,https://scholar.google.com/citations?hl=en&user=VEaYQTwAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,
Waldy Romadhona,https://scholar.google.com/citations?hl=en&user=ApfgMU8AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,
